id,dataset,Variable,Label,Data type,Length,Significant digit,Format,mandatory,codelist,Origin,Pages,Method,Predecessor,Role
7110,ADAE,STUDYID,Study Identifier,text,8.0,nan,nan,Yes,,Predecessor,nan,nan,ADSL.STUDYID,Identifier,nan,3,2
7111,ADAE,USUBJID,Unique Subject Identifier,text,19.0,nan,nan,Yes,,Predecessor,nan,nan,ADSL.USUBJID,Identifier,nan,3,2
7112,ADAE,SUBJID,Subject Identifier for the Study,text,10.0,nan,nan,No,,Predecessor,nan,nan,ADSL.SUBJID,Identifier,nan,3,2
7113,ADAE,SITEID,Study Site Identifier,text,4.0,nan,nan,No,,Predecessor,nan,nan,ADSL.SITEID,Identifier,nan,3,2
7114,ADAE,AESEQ,Sequence Number,integer,8.0,nan,nan,Yes,,Predecessor,nan,nan,AE.AESEQ,Identifier,nan,3,2
7115,ADAE,AETERM,Reported Term for the Adverse Event,text,18.0,nan,nan,Yes,,Predecessor,nan,nan,AE.AETERM,Dictionary Coding,nan,3,2
7116,ADAE,AEDECOD,Dictionary-Derived Term,text,36.0,nan,nan,Yes,,Predecessor,nan,nan,AE.AEPT,Dictionary Coding,nan,3,2
7117,ADAE,AEBODSYS,Body System or Organ Class,text,27.0,nan,nan,Yes,,Predecessor,nan,nan,AE.AESOC,Dictionary Coding,nan,3,2
7118,ADAE,AELLT,Lowest Level Term,text,20.0,nan,nan,No,,Predecessor,nan,nan,AE.AELLT,Dictionary Coding,nan,3,2
7119,ADAE,AEHLT,High Level Term,text,34.0,nan,nan,No,,Predecessor,nan,nan,AE.AEHLT,Dictionary Coding,nan,3,2
7120,ADAE,AEHLGT,High Level Group Term,text,52.0,nan,nan,No,,Predecessor,nan,nan,AE.AEHLGT,Dictionary Coding,nan,3,2
7121,ADAE,AESOC,Primary System Organ Class,text,27.0,nan,nan,No,,Predecessor,nan,nan,AE.AESOC,Dictionary Coding,nan,3,2
7122,ADAE,APERIODC,Period (C),text,10.0,nan,nan,No,,Derived,nan,ADAE.APERIODC,nan,Timing,nan,3,2
7123,ADAE,APERIOD,Period,integer,8.0,nan,nan,No,,Derived,nan,ADAE.APERIOD,nan,Timing,nan,3,2
7124,ADAE,TRTA,Actual Treatment,text,3.0,nan,nan,No,,Derived,nan,ADAE.TRTA,nan,Treatment,nan,3,2
7125,ADAE,TRTAN,Actual Treatment (N),integer,8.0,nan,nan,No,,Derived,nan,ADAE.TRTAN,nan,Treatment,nan,3,2
7126,ADAE,TRTSDT,Date of First Exposure to Treatment,integer,8.0,nan,YYMMDD,No,,Derived,nan,ADAE.TRTSDT,nan,Trial Date,nan,3,2
7127,ADAE,TRTEDT,Date of Last Exposure to Treatment,integer,8.0,nan,YYMMDD,No,,Derived,nan,ADAE.TRTEDT,nan,Trial Date,nan,3,2
7128,ADAE,AESTDTC,Start Date/Time of Adverse Event,datetime,nan,nan,nan,No,,Derived,nan,ADAE.AESTDTC,nan,Timing,nan,3,2
7129,ADAE,ASTDT,Analysis Start Date,integer,8.0,nan,YYMMDD,No,,Derived,nan,ADAE.ASTDT,nan,Timing,nan,3,2
7130,ADAE,ASTDTF,Analysis Start Date Imputation Flag,text,1.0,nan,nan,No,,Derived,nan,ADAE.ASTDTF,nan,Timing,nan,3,2
7131,ADAE,ASTDY,Analysis Start Relative Day,integer,8.0,nan,nan,No,,Derived,nan,ADAE.ASTDY,nan,Timing,nan,3,2
7132,ADAE,AEENDTC,End Date/Time of Adverse Event,datetime,nan,nan,nan,No,,Derived,nan,ADAE.AEENDTC,nan,Timing,nan,3,2
7133,ADAE,AENDT,Analysis End Date,integer,8.0,nan,YYMMDD,No,,Derived,nan,ADAE.AENDT,nan,Timing,nan,3,2
7134,ADAE,AENDTF,Analysis End Date Imputation Flag,text,1.0,nan,nan,No,,Derived,nan,ADAE.AENDTF,nan,Timing,nan,3,2
7135,ADAE,AENDY,Analysis End Relative Day,integer,8.0,nan,nan,No,,Derived,nan,ADAE.AENDY,nan,Timing,nan,3,2
7136,ADAE,TRTEMFL,Treatment Emergent Analysis Flag,text,1.0,nan,nan,No,,Derived,nan,ADAE.TRTEMFL,nan,Flag,nan,3,2
7137,ADAE,AESER,Serious Event,text,1.0,nan,nan,Yes,,Predecessor,nan,nan,AE.AESER,Descriptive,nan,3,2
7138,ADAE,AESEV,Severity/Intensity,text,8.0,nan,nan,No,,Predecessor,nan,nan,AE.AESEV,Descriptive,nan,3,2
7139,ADAE,AESEVN,Severity/Intensity (N),integer,8.0,nan,nan,No,,Derived,nan,ADAE.AESEVN,nan,Descriptive,nan,3,2
7140,ADAE,AEREL,Causality,text,11.0,nan,nan,No,,Predecessor,nan,nan,AE.AEREL,Descriptive,nan,3,2
7141,ADAE,AERELN,Causality (N),integer,8.0,nan,nan,No,,Derived,nan,ADAE.AERELN,nan,Descriptive,nan,3,2
7142,ADAE,AEOUT,Outcome of Adverse Event,text,20.0,nan,nan,No,,Predecessor,nan,nan,AE.AEOUT,nan,nan,3,2
7143,ADAE,AEACN,Action Taken with Study Treatment,text,16.0,nan,nan,No,,Predecessor,nan,nan,AE.AEACN,Descriptive,nan,3,2
7144,ADAE,ANL01FL,Analysis Record Flag 01,text,1.0,nan,nan,No,,Derived,nan,ADAE.ANL01FL,nan,nan,nan,3,2
7145,ADAE,ANL02FL,Analysis Record Flag 02,text,1.0,nan,nan,No,,Derived,nan,ADAE.ANL02FL,nan,nan,nan,3,2
