,STUDYID,DOMAIN,IETESTCD,IETEST,IECAT,TIVERS,USUBJID
0,ABCD1234,TI,EX01,Patient has clinically significant unstable medical conditions other than epilepsy.,EXCLUSION,4,
1,ABCD1234,TI,EX02,Patients on CLB at doses above 20 mg per day.,EXCLUSION,4,
2,ABCD1234,TI,EX03,Patients taking CLB intermittently as rescue medication.,EXCLUSION,4,
3,ABCD1234,TI,EX04,"Patient has a history of symptoms (e.g., dizziness, light-headedness, blurred vision, palpitations, weakness, syncope) related to a drop in blood pressure (BP) due to postural changes.",EXCLUSION,4,
4,ABCD1234,TI,EX05,Any history of suicidal behavior or any suicidal ideation of type four or five on the C-SSRS in the last month or at screening.,EXCLUSION,4,
5,ABCD1234,TI,EX06,"Patient has had clinically relevant symptoms or a clinically significant illness in the four weeks prior to screening or enrollment, other than epilepsy.",EXCLUSION,4,
6,ABCD1234,TI,EX07,Patient has consumed alcohol during the seven days prior to enrollment and is unwilling to abstain during the blinded phase of the study.,EXCLUSION,4,
7,ABCD1234,TI,EX08,"Patient is currently using or has in the past used recreational or medicinal cannabis, or synthetic cannabinoid based medications (including Sativex) within the three months prior to study entry.",EXCLUSION,4,
8,ABCD1234,TI,EX09,Patient has any known or suspected history of any drug abuse or addiction.,EXCLUSION,4,
9,ABCD1234,TI,EX10,"Patient is unwilling to abstain from recreational or medicinal cannabis, or synthetic cannabinoid based medications (including Sativex) for the duration of the study.",EXCLUSION,4,
10,ABCD1234,TI,EX11,Patient has consumed grapefruit or grapefruit juice seven days prior to enrollment and is unwilling to abstain from drinking grapefruit juice within seven days of PK visits.,EXCLUSION,4,
11,ABCD1234,TI,EX12,"Patient has any known or suspected hypersensitivity to cannabinoids or any of the excipients of the IMP, e.g., sesame oil.",EXCLUSION,4,
12,ABCD1234,TI,EX13,"Female patient is of child bearing potential, or male patientâs partner is of child bearing potential.",EXCLUSION,4,
13,ABCD1234,TI,EX14,"Female patient who is pregnant (positive pregnancy test), lactating or planning pregnancy during the course of the study and for three months thereafter.",EXCLUSION,4,
14,ABCD1234,TI,EX15,Patients who have received an IMP within the 12 weeks prior to the screening visit.,EXCLUSION,4,
15,ABCD1234,TI,EX16,Patient is taking felbamate and they have been taking it for less than one year prior to screening.,EXCLUSION,4,
16,ABCD1234,TI,EX17,"Other significant disease or disorder which in the opinion of the investigator may put the patient at risk because of participation, may influence the result, or the patient's ability to participate.",EXCLUSION,4,
17,ABCD1234,TI,EX18,"Following a physical examination, the patient has any abnormalities that, in the opinion of the investigator would prevent the patient from safe participation in the study.",EXCLUSION,4,
18,ABCD1234,TI,EX19,Patient has significantly impaired hepatic function at screening (Visit 1) or enrollment (Visit 2) as per protocol definition.,EXCLUSION,4,
19,ABCD1234,TI,EX20,Patient has a prolonged QTcB (> 450 msec for males and > 470 msec for females),EXCLUSION,4,
20,ABCD1234,TI,EX21,Unwilling to abstain from donation of blood during the study.,EXCLUSION,4,
21,ABCD1234,TI,EX22,"Travel outside the country of residence planned during the study, unless the patient has confirmation that the IMP is permitted in the destination country/state.",EXCLUSION,4,
22,ABCD1234,TI,EX23,Patients previously enrolled into this study.,EXCLUSION,4,
23,ABCD1234,TI,IN01,Male or female patients aged 18 to 55 years inclusive.,INCLUSION,4,
24,ABCD1234,TI,IN02,Patient must have epilepsy as determined by the investigator and be taking CLB.,INCLUSION,4,
25,ABCD1234,TI,IN03,Patient must have a documented magnetic resonance imaging/computerized tomography of the brain that ruled out a progressive neurologic condition.,INCLUSION,4,
26,ABCD1234,TI,IN04,Patient must have experienced at least one seizure of any type within two months prior to randomization.,INCLUSION,4,
27,ABCD1234,TI,IN05,Patients must be taking CLB and no more than two other AEDs during the course of the study.,INCLUSION,4,
28,ABCD1234,TI,IN06,"AED(s), including CLB, must be stable for four weeks prior to screening and regimen must remain stable throughout the duration of the blinded phase of the study.",INCLUSION,4,
29,ABCD1234,TI,IN07,Intervention with vagus nerve stimulation (VNS) and/or ketogenic diet must be stable for 4 weeks prior to baseline and patient/caregiver willing to maintain stable regimen in blinded phase.,INCLUSION,4,
30,ABCD1234,TI,IN08,Patients must abstain from alcohol during the blinded phase of the study.,INCLUSION,4,
31,ABCD1234,TI,IN09,Patient is available to attend all PK visits within the required visit window.,INCLUSION,4,
32,ABCD1234,TI,IN10,Patient and/or legal representative must be willing and able to give informed consent for participation of the study.,INCLUSION,4,
33,ABCD1234,TI,IN11,Patient and/or legal representative must be willing and able (in the investigatorâs opinion) to comply with all study requirements.,INCLUSION,4,
34,ABCD1234,TI,IN12,"Patient is willing for his or her name to be notified to the responsible authorities for participation in this study, as applicable.",INCLUSION,4,
35,ABCD1234,TI,IN13,"Patient is willing to allow his or her primary care practitioner and consultant, if appropriate, to be notified of participation in the study.",INCLUSION,4,
